Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.010,S,0.010,0.010,0,0.6342236,0,944.4577,167.4,0,0,93.58184,123.6658,4.737625,149.373021191009,149.238622242356,6.33506834477282,14.8087420264865,1.492386,0.06335068,88,88,0.00746193,0.0003167534
0.02,S,0.02,0.01288476,0,0.6186824,0,1862.465,167.3797,0.0299897,0,93.56368,123.6658,4.740484,325.847979410789,325.60836102641,12.4940352084089,15.5986144096999,4.748469,0.188291,88,88,0.0386662,0.001574962
0.03,S,0.03,0.01357201,0,0.6186647,0,2618.401,167.3187,0.03327324,0,93.54552,123.6658,4.743344,471.337404146443,471.009754351344,17.5715637720227,17.7619212558403,9.458567,0.3640066,88,88,0.1097014,0.00433645
0.04,S,0.04,0.01545426,0,0.6186165,0,2726.048,167.2178,0.04313881,0,93.52737,123.6658,4.746203,492.351379985823,492.010986095647,18.3049429153306,20.9357406068914,14.37868,0.547056,88,88,0.2288876,0.008891763
0.05,S,0.05,0.01821574,0,0.6185457,0,2833.695,167.1006,0.05992579,0,93.50921,123.6658,4.749063,513.442588595002,513.089399072778,19.0410173644258,24.8598740772307,19.50957,0.7374662,88,88,0.3983288,0.01531437
0.05999999,S,0.05999999,0.02163005,0,0.6184584,0,2866.054,166.9787,0.08448342,0,93.49105,123.6658,4.751922,520.071133316605,519.713921506471,19.2723507020797,29.2196413560654,24.70671,0.9301897,88,88,0.6194103,0.02365265
0.06999999,S,0.06999999,0.02542341,0,0.6183615,0,2866.146,166.8532,0.1166951,0,93.47289,123.6658,4.754782,520.498212587796,520.14074160462,19.2872556390623,33.8218339559018,29.90812,1.123062,88,88,0.8924844,0.03391891
0.07999999,S,0.07999999,0.02942771,0,0.6182593,0,2863.153,166.7274,0.1563226,0,93.45473,123.6658,4.757641,520.329806374938,519.972437590172,19.2813782887703,38.5760115048017,35.10784,1.315876,88,88,1.217564,0.0461136
0.08999999,S,0.08999999,0.03356427,0,0.6181537,0,2858.838,166.6017,0.2033217,0,93.43658,123.6658,4.760501,519.904310525084,519.547199947833,19.2665287202705,43.4292757011227,40.30331,1.508541,88,88,1.59462,0.06023569
0.09999999,S,0.09999999,0.03778705,0,0.6180461,0,2857.609,166.4762,0.2576522,0,93.41842,123.6658,4.763361,520.072448465642,519.715235857062,19.2723966098157,48.3560769673441,45.50046,1.701265,88,88,2.023639,0.07628471
