Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.010,S,0.010,0.010,0,0.7095631,0,156.3431,21.2,0,0,41.05632,46.73122,1.891635,205.121494412679,204.954281354208,8.28070194313071,11.9952001707419,2.049543,0.08280701,88,88,0.01024771,0.0004140351
0.02,S,0.02,0.01048455,0,0.7022429,0,156.6829,21.19662,0.005030764,0,41.05263,46.73122,1.892863,205.667511068949,205.499973543864,8.29975799451992,12.5896873393838,4.104543,0.1658046,88,88,0.04101814,0.001657093
0.03,S,0.03,0.01100417,0,0.6948737,0,157.0228,21.18984,0.005483615,0,41.04895,46.73122,1.894092,206.25883845864,206.09094949441,8.32039535116606,13.4778793165748,6.165452,0.2490086,88,88,0.09236811,0.003731159
0.04,S,0.04,0.01178051,0,0.6846795,0,157.3627,21.18305,0.006192429,0,41.04526,46.73122,1.89532,206.850495153271,206.68225450785,8.34104410164115,14.6088018160928,8.232275,0.332419,88,88,0.1643567,0.006638297
0.05,S,0.05,0.012769,0,0.6729118,0,157.7026,21.17624,0.007150182,0,41.04157,46.73122,1.896549,207.442345374932,207.273752879146,8.36169971042276,15.9331482063872,10.30501,0.416036,88,88,0.2570432,0.01038057
0.05999999,S,0.05999999,0.01392657,0,0.6605685,0,158.0427,21.16942,0.008349288,0,41.03789,46.73122,1.897777,208.034637082761,207.865692424449,8.38237073031373,17.4089501846667,12.38367,0.4998597,88,88,0.3704866,0.01496005
0.06999999,S,0.06999999,0.01521652,0,0.6483102,0,158.3828,21.16258,0.00978262,0,41.0342,46.73122,1.899006,208.627087109907,208.457790149739,8.40304717658596,19.0028932313164,14.46825,0.5838901,88,88,0.5047461,0.0203788
0.07999999,S,0.07999999,0.01660973,0,0.6365151,0,158.723,21.15572,0.01144389,0,41.03052,46.73122,1.900234,209.219999490505,209.0503499005,8.42373986335593,20.6894799728397,16.55875,0.6681275,88,88,0.6598811,0.02663889
0.08999999,S,0.08999999,0.01808393,0,0.6253679,0,159.0632,21.14885,0.01332779,0,41.02683,46.73122,1.901463,209.813090800646,209.643088429916,8.44443869577112,22.4495026666344,18.65518,0.7525719,88,88,0.8359507,0.03374238
0.09999999,S,0.09999999,0.01962231,0,0.6149361,0,159.4036,21.14196,0.01542995,0,41.02315,46.73122,1.902691,210.406661348595,210.236305859734,8.4651543585954,24.2685272589714,20.75754,0.8372234,88,88,1.033014,0.04169136
0.11,S,0.11,0.02121227,0,0.6052207,0,159.7372,21.13506,0.01774677,0,41.01946,46.73122,1.90392,210.99025216265,210.819549450067,8.48552162977248,26.1355891721654,22.86574,0.9220786,88,88,1.251131,0.05048787
0.12,S,0.12,0.02284422,0,0.5961894,0,160.0709,21.12814,0.02027518,0,41.01578,46.73122,1.905148,211.574098134402,211.403047996287,8.5058979105683,28.0424049833146,24.97977,1.007138,88,88,1.490358,0.06013395
0.13,S,0.13,0.02451092,0,0.587794,0,160.4046,21.12121,0.02301274,0,41.01209,46.73122,1.906377,212.158375326879,211.986977465147,8.52628914195594,29.9826343509461,27.09964,1.092401,88,88,1.750755,0.07063165
0.14,S,0.14,0.02620683,0,0.5799811,0,160.7384,21.11426,0.02595751,0,41.0084,46.73122,1.907605,212.742921592472,212.571175801732,8.54668976680348,31.9513547622443,29.22535,1.177868,88,88,2.03238,0.08198299
0.15,S,0.15,0.02792765,0,0.5726976,0,161.0724,21.1073,0.02910783,0,41.00472,46.73122,1.908834,213.32789987851,213.155805852576,8.56710557392158,33.9447171062039,31.35691,1.263539,88,88,2.335292,0.09419003
0.16,S,0.16,0.02967001,0,0.5658937,0,161.4063,21.10032,0.03246245,0,41.00103,46.73122,1.910062,213.913228584638,213.740786074371,8.58753351163293,35.9596653651689,33.49432,1.349414,88,88,2.659548,0.1072548
0.17,S,0.17,0.03143125,0,0.559523,0,161.7404,21.09332,0.0360203,0,40.99735,46.73122,1.911291,214.498952695294,214.326161420935,8.60797525236263,37.9937542582429,35.63758,1.435494,88,88,3.005207,0.1211793
0.18,S,0.18,0.03320923,0,0.5535446,0,162.0745,21.08631,0.03978053,0,40.99366,46.73122,1.912519,215.084959743869,214.911819492931,8.62842687049173,40.0450168644451,37.7867,1.521778,88,88,3.372329,0.1359657
0.19,S,0.19,0.03500222,0,0.5479212,0,162.4087,21.07928,0.04374253,0,40.98998,46.73122,1.913748,215.671391967274,215.497902442845,8.64889333009872,42.1118423163242,39.94168,1.608267,88,88,3.760971,0.1516159
0.2,S,0.2,0.03680882,0,0.5426198,0,162.7357,21.07224,0.04790579,0,40.98629,46.73122,1.914976,216.247232133161,216.073399601563,8.66899013015292,44.1927995929683,42.10241,1.694957,88,88,4.171191,0.168132
0.21,S,0.21,0.03862777,0,0.5376114,0,163.0629,21.06519,0.05226973,0,40.9826,46.73122,1.916204,216.823448571655,216.649272767217,8.68910006508156,46.2867985732658,44.2689,1.781848,88,88,4.603048,0.1855161
0.22,S,0.22,0.04045815,0,0.5328701,0,163.3901,21.05811,0.05683408,0,40.97892,46.73122,1.917433,217.400020001838,217.22550067182,8.70922239219464,48.3929306417244,46.44116,1.86894,88,88,5.056598,0.20377
0.23,S,0.23,0.04229913,0,0.5283726,0,163.7174,21.05103,0.06159869,0,40.97523,46.73122,1.918661,217.97694825845,217.802085149268,8.72935717553764,50.5104141426256,48.61918,1.956234,88,88,5.5319,0.2228959
0.24,S,0.24,0.04415004,0,0.5240983,0,164.0447,21.04392,0.06656348,0,40.97155,46.73122,1.91989,218.554258434474,218.379051277836,8.74950529086779,52.6386046135225,50.80297,2.043729,88,88,6.029011,0.2428957
